Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised (Millions),Stage,Date_Added,Country,List_of_Employees_Laid_Off,Sum of Employees,Average # of Employees Laid Off,Average Layoff %,Total Funds Raised,Average Funds Raised,,
Splunk,SF Bay Area,Data,325,4%,2/1/2023,https://www.marketwatch.com/story/splunk-to-lay-off-4-of-its-staff-in-latest-sign-of-software-cutbacks-11675260328,2400.00,IPO,2/1/2023 17:01,United States,Unknown,290317.00,262.0189531,23%,850192.86,835.98,,
DraftKings,Boston,Consumer,140,4%,2/1/2023,https://www.cnbc.com/2023/02/01/draftkings-cuts-140-jobs.html,719.00,IPO,2/1/2023 19:08,United States,Unknown,,,,,,,
Wheel,Austin,Healthcare,56,28%,2/1/2023,https://www.beckershospitalreview.com/telehealth/telehealth-company-wheel-lays-off-28-of-workforce.html,215.00,Series C,2/2/2023 0:04,United States,Unknown,,,,,,,
Chainalysis,New York City,Crypto,44,5%,2/1/2023,https://www.forbes.com/sites/stevenehrlich/2023/02/01/chainalysis-to-lay-off-48-of-staff-as-crypto-winter-bites-into-private-sector-demand/?sh=471d22826f23,536.00,Series F,2/2/2023 3:13,United States,Unknown,,,,,,,
Exterro,Portland,Legal,24,3%,2/1/2023,https://www.oregonlive.com/silicon-forest/2023/01/oregon-software-company-exterro-lays-off-two-dozen-employees-after-buying-zapproved.html,100.00,Private Equity,2/2/2023 0:05,United States,Unknown,,,,,,,
PayPal,SF Bay Area,Finance,2000,7%,1/31/2023,https://www.cnbc.com/2023/01/31/paypal-to-lay-off-2000-employees-in-coming-weeks-about-7percent-of-workforce.html,216.00,IPO,1/31/2023 21:48,United States,Unknown,,,,,,,
NetApp,SF Bay Area,Data,960,8%,1/31/2023,https://www.theregister.com/2023/01/31/netapp_layoffs_8_percent/,,IPO,1/31/2023 16:33,United States,Unknown,,,,,,,
Workday,SF Bay Area,HR,525,3%,1/31/2023,https://www.cnbc.com/2023/01/31/workday-lays-off-employees-but-will-grow-head-count.html,230.00,IPO,1/31/2023 16:34,United States,Unknown,,,,,,,
HubSpot,Boston,Marketing,500,7%,1/31/2023,https://www.marketwatch.com/story/hubspot-to-lay-off-about-500-employees-consolidate-workspace-leases-01675175630,100.00,IPO,1/31/2023 16:33,United States,Unknown,,,,,,,
Upstart,SF Bay Area,Finance,365,20%,1/31/2023,https://www.marketwatch.com/story/upstart-to-lay-off-365-employees-20-of-staff-271675176017,144.00,IPO,1/31/2023 18:54,United States,https://docs.google.com/spreadsheets/d/1O2jqAPa7lhPAlgbzHrrUn9vpbDF2s0uu3E2f3ATlCWQ/edit#gid=1310022080,,,,,,,
Wish,SF Bay Area,Retail,150,17%,1/31/2023,https://ir.wish.com/node/9361/html,1600.00,IPO,2/1/2023 5:25,United States,Unknown,,,,,,,
Tilting Point,New York City,Consumer,60,14%,1/31/2023,https://mobilegamer.biz/layoffs-at-tilting-point-as-it-restructures-and-switches-strategy/,235.00,Unknown,2/1/2023 17:02,United States,Unknown,,,,,,,
Philips,Amsterdam,Healthcare,6000,13%,1/30/2023,https://www.reuters.com/markets/europe/philips-scraps-6000-jobs-drive-improve-profitability-2023-01-30/,,IPO,1/30/2023 15:45,Netherlands,Unknown,,,,,,,
OLX Group,Amsterdam,Marketing,1500,15%,1/30/2023,https://www.financialexpress.com/industry/prosus-operated-olx-to-fire-at-least-1500-employees-globally/2964475/,,Acquired,1/30/2023 15:52,Netherlands,Unknown,,,,,,,
Arrival,London,Transportation,800,50%,1/30/2023,https://techcrunch.com/2023/01/30/ev-company-arrival-to-cut-workforce-by-50-in-third-restructuring-effort/,629.00,IPO,1/31/2023 5:21,United Kingdom,Unknown,,,,,,,
Glovo,Barcelona,Food,250,6%,1/30/2023,https://sifted.eu/articles/glovo-lays-offs-news/,1200.00,Acquired,1/30/2023 15:47,Spain,Unknown,,,,,,,
Delivery Hero,Berlin,Food,156,4%,1/30/2023,https://newsingermany.com/delivery-hero-lays-off-four-percent-of-employees-at-headquarters/,9900.00,IPO,1/31/2023 1:27,Germany,https://docs.google.com/spreadsheets/d/1MQMMYWR1e41pw1fc4qOPgfvCCe0zkCRTysIW9rHlioI/edit#gid=1649408084,,,,,,,
Impossible Foods copy,SF Bay Area,Food,140,20%,1/30/2023,https://www.bloomberg.com/news/articles/2023-01-30/impossible-foods-plans-to-lay-off-about-20-of-employees,1900.00,Series H,1/31/2023 1:32,United States,Unknown,,,,,,,
Chrono24,Karlsruhe,Retail,65,13%,1/30/2023,https://www.bloomberg.com/news/articles/2023-01-30/rolex-reseller-chrono24-cuts-jobs-as-pre-owned-watch-prices-fall,205.00,Series C,1/31/2023 1:33,Germany,Unknown,,,,,,,
Me Poupe,Sao Paulo,Finance,60,50%,1/28/2023,https://portaldobitcoin.uol.com.br/os-bastidores-da-demissao-em-massa-da-me-poupe-de-nathalia-arcuri-quer-sair-das-redes-sociais/,,Unknown,1/29/2023 20:06,Brazil,Unknown,,,,,,,
SSense,Montreal,Retail,138,7%,1/27/2023,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,,Series A,1/28/2023 15:11,Canada,Unknown,,,,,,,
DealShare,Bengaluru,Retail,100,6%,1/27/2023,https://www.moneycontrol.com/news/business/startup/tiger-global-backed-dealshare-lays-off-6-of-staff-9949751.html,390.00,Series E,1/27/2023 14:27,India,Unknown,,,,,,,
Matrixport,Singapore,Crypto,29,10%,1/27/2023,https://www.coindesk.com/business/2023/01/27/jihan-wus-matrixport-cuts-10-of-staff/,100.00,Series C,1/27/2023 14:26,Singapore,Unknown,,,,,,,
Shakepay,Montreal,Crypto,21,25%,1/27/2023,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,45.00,Series A,1/28/2023 21:16,Canada,Unknown,,,,,,,
#Paid,Toronto,Marketing,19,17%,1/27/2023,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,21.00,Series B,1/28/2023 21:12,Canada,Unknown,,,,,,,
SAP,Walldorf,Other,3000,3%,1/26/2023,https://www.cnbc.com/2023/01/26/sap-to-cut-3000-roles-explore-sale-of-qualtrics-stake.html,1300.00,IPO,1/26/2023 15:58,Germany,Unknown,,,,,,,
Confluent,SF Bay Area,Data,221,8%,1/26/2023,https://investors.confluent.io/node/8216/html,455.00,IPO,1/26/2023 16:16,United States,Unknown,,,,,,,
IBM,New York City,Hardware,3900,2%,1/25/2023,https://www.bloomberg.com/news/articles/2023-01-25/ibm-to-cut-about-3-900-workers-still-hiring-in-higher-growth-areas,,IPO,1/25/2023 23:13,United States,Unknown,,,,,,,
Lam Research,SF Bay Area,Hardware,1300,7%,1/25/2023,https://www.bloomberg.com/news/articles/2023-01-25/lam-research-to-cut-7-of-workforce-after-forecast-disappoints?leadSource=uverify%20wall,,IPO,2/1/2023 17:05,United States,Unknown,,,,,,,
Luno,London,Crypto,330,35%,1/25/2023,https://www.cnbc.com/2023/01/25/dcg-owned-crypto-exchange-luno-axes-35percent-of-staff.html,13.00,Acquired,1/25/2023 19:22,United Kingdom,Unknown,,,,,,,
Clear Capital,Reno,Real Estate,250,25%,1/25/2023,https://www.rgj.com/story/news/money/business/2023/01/25/more-layoffs-at-reno-based-clear-capital-amid-seismic-housing-shift/69842319007/,,Unknown,1/26/2023 1:58,United States,Unknown,,,,,,,
Guardant Health,SF Bay Area,Healthcare,130,7%,1/25/2023,https://www.genomeweb.com/business-news/guardant-health-lays-7-percent-workforce#.Y9HcqOzMK8A,550.00,IPO,1/26/2023 1:51,United States,Unknown,,,,,,,
