,Industry,mean,std
0,Construction,1600.0,
1,Consumer,5661.0,9646.66641902787
2,Data,127.33333333333333,72.70029802781646
3,Education,39.75,54.847515896346664
4,Finance,217.33333333333334,318.1105677800304
5,Fitness,200.0,
6,Food,1987.5,3213.1862535495825
7,HR,17.0,
8,Infrastructure,107.25,151.67440456451445
9,Marketing,20.0,
10,Media,84.0,63.03570416835208
11,Other,1291.3333333333333,371.51760837587943
12,Product,356.0,
13,Real Estate,501.0,571.3422791987304
14,Recruiting,0.0,
15,Retail,188.75,154.55392802082602
16,Security,1000.0,
17,Transportation,214.2,
