,Company,Industry,sum,std
0, E Inc.,Transportation,0.0,
1, Included Health,Healthcare,0.06,
2,&Open,Marketing,0.09,
3,100 Thieves,Consumer,0.0,
4,10X Genomics,Healthcare,0.08,
5,2TM,Crypto,0.27,0.021213203435596434
6,2U,Education,0.2,
7,54gene,Healthcare,0.3,
8,5B Solar,Energy,0.25,
9,6sense,Sales,0.1,
10,8x8,Support,0.09,
11,98point6,Healthcare,0.1,
12,99,Transportation,0.02,
13,Abra,Crypto,0.05,
14,Absci,Healthcare,0.0,
15,Acast,Media,0.15,
16,ActiveCampaign,Marketing,0.15,
17,Ada,Support,0.16,
18,Ada Health,Healthcare,0.0,
19,Adaptive Biotechnologies,Healthcare,0.12,
20,Addi,Finance,0.0,
21,Adobe,Marketing,0.0,
22,Advata,Healthcare,0.21,
23,Adwerx,Marketing,0.0,
24,Affirm,Finance,0.01,
25,Afterverse,Consumer,0.2,
26,Ahead,Healthcare,1.0,
27,Airlift,Logistics,1.31,0.4879036790187178
28,Airtable,Product,0.2,
29,Airtame,Consumer,0.0,
30,Airtasker,Consumer,0.0,
31,Airtime,Consumer,0.2,
32,Ajaib,Finance,0.08,
33,Akerna,Logistics,0.0,
34,AlayaCare,Healthcare,0.14,
35,Albert,Finance,0.08,
36,Alerzo,Retail,0.0,
37,AliExpress Russia,Retail,0.4,
38,Alice,Healthcare,0.16,0.1131370849898476
39,Allbirds,Retail,0.0,
40,Almanac,Other,0.0,
41,Alto Pharmacy,Healthcare,0.0,
42,Amazon,Retail,0.03,0.021213203435596427
43,Amber Group,Crypto,0.1,
44,Amobee,Marketing,0.0,
45,Amount,Finance,0.18,
46,Amperity,Marketing,0.03,
47,Anodot,Data,0.47000000000000003,0.04949747468305833
48,Antidote Health,Healthcare,0.38,
49,Anywell,Real Estate,0.0,
50,Apartment List,Real Estate,0.1,
51,Apeel Sciences,Food,0.0,
52,Apollo,Product,0.15,
53,Apollo Insurance,Finance,0.25,
54,AppGate,Security,0.22,
55,AppLovin,Marketing,0.12,
56,ApplyBoard,Education,0.06,
57,Aqgromalin,Food,0.3,
58,Aqua Security,Security,0.1,
59,Arc,HR,0.0,
60,Arete,Security,0.0,
61,Argo AI,Transportation,0.05,0.02886751345948129
62,Argyle,Finance,0.07,
63,Armis,Security,0.04,
64,Arrival,Transportation,0.3,0.21213203435596426
65,Article,Retail,0.17,
66,Artnight,Retail,0.36,
67,Asana,Other,0.09,
68,Aspire,Marketing,0.0,
69,Assure,Finance,1.0,
70,Astra,Aerospace,0.16,
71,AtoB,Finance,0.3,
72,Atome,Finance,0.0,
73,Aura,Security,0.09,
74,Autobooks,Finance,0.0,
75,Autograph,Crypto,0.0,
76,Automox,Infrastructure,0.11,0.07778174593052023
77,AvantStay,Travel,0.22,0.15556349186104046
78,Avast,Security,0.25,
79,Avo,Food,0.67,
80,Babylon,Healthcare,0.0,
81,Back Market,Retail,0.13,
82,Bakkt,Crypto,0.15,
83,Balto,Sales,0.0,0.0
84,Bamboo Health,Healthcare,0.0,
85,Banxa,Crypto,0.3,
86,Baton,Transportation,0.25,
87,Beat,Transportation,0.0,
88,Benitago Group,Retail,0.14,
89,Berkeley Lights,Healthcare,0.12,
90,Berlin Brands Group,Retail,0.1,
91,Bestow,Finance,0.14,
